ID_Pedido;Fecha;Producto;Categoria;Cantidad;Precio_Unitario;Costo_Envio;Ciudad;Metodo_Pago;Satisfaccion
1001;06/06/2025;Teclado;Accesorios;2;1194.13;5.42;Málaga;Efectivo;4
1002;22/10/2025;Teclado;Accesorios;3;930.51;7.85;Madrid;Transferencia;2
1003;27/09/2025;Auriculares;Accesorios;5;1080.65;33.67;Málaga;Transferencia;1
1004;17/03/2025;Laptop;Electrónica;1;889.38;18.3;Madrid;Tarjeta Credito;3
1005;01/11/2025;Reloj Inteligente;Gadgets;4;552.01;27.32;Valencia;Efectivo;1
1006;07/08/2025;Smartphone;Electrónica;2;977.4;48.74;Málaga;Efectivo;2
1007;27/11/2025;Monitor;Hardware;2;151.76;46.77;Málaga;Efectivo;3
1008;19/10/2025;Tablet;Electrónica;4;84.93;49.02;Madrid;Tarjeta Credito;2
1009;17/04/2025;Smartphone;Electrónica;3;697.84;33.9;Sevilla;PayPal;3
1010;07/01/2025;Monitor;Hardware;2;119.67;35.06;Sevilla;Tarjeta Credito;1
1011;22/11/2025;Monitor;Hardware;2;189.42;7.14;Madrid;Transferencia;4
1012;18/10/2025;Reloj Inteligente;Gadgets;1;109.4;16.35;Málaga;Tarjeta Credito;2
1013;27/07/2025;Smartphone;Electrónica;3;210.53;14.1;Málaga;PayPal;1
1014;11/08/2025;Monitor;Hardware;5;636.66;23.02;Sevilla;Transferencia;2
1015;18/02/2025;Reloj Inteligente;Gadgets;4;282.33;14.2;Málaga;Transferencia;4
1016;25/03/2025;Cámara;Fotografía;2;810.05;7.11;Bilbao;Transferencia;4
1017;25/06/2025;Auriculares;Accesorios;5;20.86;5.42;Valencia;Transferencia;4
1018;30/06/2025;Cámara;Fotografía;1;872.54;9.35;Madrid;Tarjeta Credito;5
1019;31/10/2025;Monitor;Hardware;2;960.88;15.5;Málaga;Efectivo;5
1020;19/03/2025;Monitor;Hardware;2;770.72;40.18;Bilbao;PayPal;5
1021;24/01/2025;Auriculares;Accesorios;1;1098.54;38.57;Sevilla;Tarjeta Credito;4
1022;03/06/2025;Laptop;Electrónica;3;156.52;9.19;Madrid;Efectivo;1
1023;24/12/2025;Monitor;Hardware;5;403.26;49.62;Valencia;Tarjeta Credito;1
1024;31/12/2025;Smartphone;Electrónica;2;345.52;8.84;Bilbao;Tarjeta Credito;1
1025;30/04/2025;Smartphone;Electrónica;1;172.55;23.41;Málaga;Tarjeta Credito;1
1026;03/04/2025;Auriculares;Accesorios;3;1006.52;8.88;Barcelona;Transferencia;5
1027;02/01/2025;Teclado;Accesorios;2;951.94;33.44;Valencia;Transferencia;3
1028;08/03/2025;Auriculares;Accesorios;1;63.77;8.48;Madrid;PayPal;1
1029;16/04/2025;Auriculares;Accesorios;3;489.96;34.18;Valencia;Tarjeta Credito;1
1030;18/05/2025;Cámara;Fotografía;1;793.92;6.05;Bilbao;Transferencia;3
1031;02/07/2025;Laptop;Electrónica;1;1005.34;10.29;Sevilla;Transferencia;3
1032;30/09/2025;Tablet;Electrónica;2;186.72;35.01;Valencia;Transferencia;1
1033;03/04/2025;Tablet;Electrónica;5;1099.94;40.7;Málaga;PayPal;5
1034;26/04/2025;Tablet;Electrónica;1;1025.68;40.1;Málaga;Tarjeta Credito;5
1035;05/12/2025;Laptop;Electrónica;5;1171.22;23.61;Barcelona;Transferencia;1
1036;26/08/2025;Laptop;Electrónica;3;582.11;15.31;Madrid;Transferencia;3
1037;22/06/2025;Smartphone;Electrónica;3;167.72;46.59;Bilbao;Efectivo;1
1038;09/03/2025;Reloj Inteligente;Gadgets;5;770.05;27.31;Barcelona;Tarjeta Credito;4
1039;06/08/2025;Teclado;Accesorios;1;1052.23;29.1;Málaga;PayPal;2
1040;10/03/2025;Reloj Inteligente;Gadgets;3;171.7;10.02;Valencia;Transferencia;3
1041;24/07/2025;Monitor;Hardware;1;1107.73;17.41;Málaga;Transferencia;2
1042;08/04/2025;Laptop;Electrónica;4;1004.71;43.74;Valencia;PayPal;1
1043;09/04/2025;Teclado;Accesorios;1;340.25;16.43;Barcelona;Efectivo;3
1044;06/01/2025;Reloj Inteligente;Gadgets;5;860.88;12.18;Madrid;PayPal;2
1045;30/05/2025;Smartphone;Electrónica;2;604.16;24.06;Málaga;Transferencia;1
1046;25/02/2025;Teclado;Accesorios;4;987.17;31.11;Valencia;Tarjeta Credito;5
1047;09/01/2025;Smartphone;Electrónica;4;774.42;42.04;Bilbao;Transferencia;2
1048;04/11/2025;Teclado;Accesorios;5;473.72;22.99;Madrid;Tarjeta Credito;3
1049;04/03/2025;Teclado;Accesorios;1;514.6;40.79;Bilbao;Tarjeta Credito;1
1050;15/01/2025;Smartphone;Electrónica;2;530.84;45.06;Madrid;Efectivo;5
1051;31/03/2025;Teclado;Accesorios;2;656.4;45.23;Bilbao;PayPal;3
1052;13/07/2025;Monitor;Hardware;3;525.72;6.35;Málaga;Efectivo;4
1053;02/07/2025;Reloj Inteligente;Gadgets;5;781.09;22.45;Barcelona;Efectivo;4
1054;01/07/2025;Teclado;Accesorios;1;608.79;22.69;Valencia;PayPal;2
1055;24/06/2025;Laptop;Electrónica;5;243.95;16.99;Málaga;Efectivo;4
1056;10/10/2025;Laptop;Electrónica;3;842.76;32.62;Málaga;Tarjeta Credito;3
1057;30/08/2025;Monitor;Hardware;5;213.82;7.94;Madrid;Efectivo;1
1058;28/05/2025;Monitor;Hardware;4;335.52;48.19;Málaga;Tarjeta Credito;1
1059;17/01/2025;Smartphone;Electrónica;4;543.34;24.62;Madrid;Transferencia;4
1060;10/06/2025;Cámara;Fotografía;5;879.12;38.77;Bilbao;PayPal;2
1061;07/04/2025;Teclado;Accesorios;5;316.7;45.15;Sevilla;Tarjeta Credito;2
1062;18/10/2025;Laptop;Electrónica;1;933.36;31.94;Barcelona;PayPal;2
1063;04/08/2025;Reloj Inteligente;Gadgets;3;444.44;36.01;Bilbao;Tarjeta Credito;1
1064;17/03/2025;Laptop;Electrónica;5;561.37;26.34;Bilbao;Transferencia;2
1065;07/06/2025;Tablet;Electrónica;2;1080.98;33.28;Madrid;Transferencia;5
1066;19/07/2025;Auriculares;Accesorios;1;652.66;14.87;Valencia;Tarjeta Credito;3
1067;12/12/2025;Tablet;Electrónica;4;639.16;19.14;Barcelona;Efectivo;5
1068;25/03/2025;Cámara;Fotografía;4;158.36;31.11;Barcelona;Transferencia;1
1069;30/10/2025;Cámara;Fotografía;5;798.46;47.49;Madrid;Efectivo;1
1070;04/04/2025;Cámara;Fotografía;4;521.1;32.76;Málaga;Tarjeta Credito;1
1071;18/06/2025;Tablet;Electrónica;2;293.59;6.11;Málaga;Tarjeta Credito;5
1072;28/12/2025;Teclado;Accesorios;1;1099.2;49.0;Málaga;PayPal;5
1073;27/08/2025;Teclado;Accesorios;2;614.03;15.95;Málaga;Tarjeta Credito;1
1074;25/08/2025;Cámara;Fotografía;4;960.21;32.12;Sevilla;PayPal;5
1075;01/11/2025;Auriculares;Accesorios;5;520.75;23.74;Sevilla;PayPal;1
1076;29/09/2025;Auriculares;Accesorios;3;651.74;15.52;Málaga;PayPal;1
1077;24/11/2025;Smartphone;Electrónica;4;497.95;7.48;Málaga;Efectivo;3
1078;25/03/2025;Tablet;Electrónica;5;530.88;44.6;Sevilla;PayPal;5
1079;31/03/2025;Teclado;Accesorios;3;772.59;19.57;Madrid;Efectivo;4
1080;25/01/2025;Laptop;Electrónica;1;897.24;7.88;Málaga;Efectivo;4
1081;02/06/2025;Smartphone;Electrónica;1;472.57;48.07;Bilbao;Efectivo;1
1082;05/03/2025;Reloj Inteligente;Gadgets;2;807.19;43.13;Sevilla;Transferencia;5
1083;23/01/2025;Reloj Inteligente;Gadgets;4;25.37;43.94;Barcelona;PayPal;5
1084;25/08/2025;Laptop;Electrónica;3;291.36;34.14;Barcelona;PayPal;4
1085;04/11/2025;Laptop;Electrónica;1;676.62;38.84;Sevilla;Tarjeta Credito;1
1086;18/08/2025;Monitor;Hardware;2;60.63;43.26;Barcelona;Transferencia;4
1087;23/11/2025;Cámara;Fotografía;3;560.19;29.73;Málaga;PayPal;5
1088;06/01/2025;Smartphone;Electrónica;5;1153.32;9.08;Málaga;Transferencia;4
1089;31/01/2025;Cámara;Fotografía;2;742.23;48.09;Sevilla;Tarjeta Credito;5
1090;16/10/2025;Auriculares;Accesorios;4;83.64;19.91;Barcelona;Efectivo;3
1091;16/11/2025;Tablet;Electrónica;1;757.13;48.37;Bilbao;PayPal;1
1092;18/01/2025;Laptop;Electrónica;2;580.28;38.92;Bilbao;PayPal;5
1093;09/10/2025;Monitor;Hardware;5;702.06;42.18;Sevilla;Transferencia;4
1094;03/02/2025;Reloj Inteligente;Gadgets;4;971.65;28.01;Sevilla;Efectivo;2
1095;10/08/2025;Teclado;Accesorios;3;112.15;9.14;Barcelona;Tarjeta Credito;3
1096;07/03/2025;Smartphone;Electrónica;1;837.34;27.64;Madrid;Transferencia;5
1097;06/12/2025;Monitor;Hardware;4;862.5;14.87;Málaga;Tarjeta Credito;5
1098;27/08/2025;Teclado;Accesorios;1;1047.08;40.31;Madrid;Efectivo;5
1099;19/03/2025;Monitor;Hardware;3;924.48;11.14;Barcelona;Transferencia;2
1100;19/11/2025;Tablet;Electrónica;2;1126.52;18.78;Bilbao;Efectivo;4
1101;18/02/2025;Teclado;Accesorios;1;75.39;7.75;Málaga;PayPal;1
1102;07/09/2025;Auriculares;Accesorios;2;70.41;7.66;Barcelona;Transferencia;5
1103;29/03/2025;Auriculares;Accesorios;5;501.36;44.94;Málaga;Transferencia;3
1104;04/11/2025;Cámara;Fotografía;5;272.0;26.9;Barcelona;Efectivo;3
1105;28/08/2025;Laptop;Electrónica;2;584.59;25.3;Valencia;PayPal;1
1106;12/06/2025;Laptop;Electrónica;2;245.38;45.82;Madrid;PayPal;4
